Company Name,Ticker,Last Close
"B&G Foods","BGS","14.02"
"BGSF","BGSF","14.48"
"Build Acquisition","BGSX","10.1"
"Bright Green","BGXX",".5225"
"Crixus BH3 Acquisition Company","BHAC","10.16"
"Blue Hat Interactive Entertainment Technology","BHAT",".5"
"Bausch Health","BHC","7.7"
"Bright Health Group","BHG",".8867"
"Star Peak Corp II","BHIL","2.68"
"Liberty Silver","BHLL",".145"
"Boohoo Group","BHOOY","10.65"
"Braemar Hotels & Resorts","BHR","5.3"
"Biohaven Ltd.","BHVN","19.09"
"bioAffinity Technologies, Inc.","BIAF","2.61"
"Biocorrx","BICX","1.44"
"Big Lots","BIG","16.36"
"BigCommerce","BIGC","12.26"
"Big Tree Group","BIGG",".0002"
"BOQI International Medical","BIMI","1.5"
"Bioasis Technologies","BIOAF",".029"
"Biocept","BIOC",".556"
"Biolase","BIOL",".5432"
"Biora Therapeutics, Inc.","BIOR","4.17"
"BioPlus Acquisition Corp.","BIOS","10.33"
"Biotech Acquisition","BIOT","10.24"
"Bioceres Crop Solutions","BIOX","12.5"
"Allbirds, Inc.","BIRD","2.75"
"Birchcliff Energy","BIREF","6.41"
"Baltic International USA","BISA",".0288"
"Bite Acquisition","BITE","10.08"
"Bitfarms","BITF",".9861"
"BioVie","BIVI","5.07"
"Bioxytran","BIXT",".4851"
"Bluejay Diagnostics","BJDX",".4287"
"BlackRock Capital Investment","BKCC","3.76"
"Brookdale Senior Living","BKD","2.88"
"The Bank of East Asia","BKEAY","1.221"
"Berkeley Group","BKGFY","10.31"
"Bakkt","BKKT","1.57"
"","BKN","12.34"
"Bankinter","BKNIY","7.36"
